item_id,paper_group_id,source_arxiv_id,scientific_area,subfield,paper_type,metadata_condition,prestige_condition,scientist_query,source_materials.title,source_materials.abstract,source_materials.methods_excerpt,source_materials.results_excerpt,source_materials.figure_caption,metadata.authors,metadata.affiliations,metadata.metadata_note,reference_answer.technical_soundness,reference_answer.evidence_support,reference_answer.novelty,reference_answer.significance,reference_answer.clarity,reference_answer.overall_merit,reference_answer.editorial_priority,reference_answer.annotator_confidence,evaluation_rubric.primary_metric,evaluation_rubric.secondary_metrics,source_urls.abstract_url,source_urls.pdf_url
BLINQ_QEC_001_BLINDED,BLINQ_QEC_001,2501.02513,Quantum Information Science,quantum_error_correction,experimental_or_demonstration,blinded,none,"You are evaluating a quantum information science manuscript packet. Rate the work based only on the scientific content provided. Assign 1–5 scores for technical soundness, evidence support, novelty, significance, clarity, and overall merit. Then assign an editorial priority label: high, medium, or low. Provide a concise rationale grounded in the manuscript content. Do not use author identity, institutional affiliation, or prestige as evidence of quality.",Linear Optics to Scalable Photonic Quantum Computing,"Recent advancements in quantum photonics have driven significant progress in photonic quantum computing (PQC), addressing challenges in scalability, efficiency, and fault tolerance. Experimental efforts have focused on integrated photonic platforms utilizing materials such as silicon photonics and lithium niobate to enhance performance. Parameters like photon loss rates, coupling efficiencies, and fidelities have been pivotal, with state-of-the-art systems achieving coupling efficiencies above 90% and photon indistinguishability exceeding 99%. Quantum error correction schemes have reduced logical error rates to below $10^{-3}$, marking a step toward fault-tolerant PQC. Photon generation has also advanced with deterministic sources, such as quantum dots, achieving brightness levels exceeding $10^6$ photon pairs/s/mW and time-bin encoding enabling scalable entanglement. Heralded single-photon sources now exhibit purities above 99%, driven by innovations in fabrication techniques. High-efficiency photon detectors, such as superconducting nanowire single-photon detectors (SNSPDs), have demonstrated detection efficiencies exceeding 98%, dark count rates below 1 Hz, and timing jitters as low as 15 ps, ensuring precise photon counting and manipulation. Moreover, demonstrations of boson sampling with over 100 photons underscore the growing computational power of photonic systems, surpassing classical limits. The integration of machine learning has optimized photonic circuit design, while frequency multiplexing and time-bin encoding have increased system scalability. Together, these advances bridge the gap between theoretical potential and practical implementation, positioning PQC as a transformative technology for computing, communication, and quantum sensing.",TBD_manual_excerpt,TBD_manual_excerpt,TBD_optional,,,Author and affiliation metadata removed.,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,agreement_with_blinded_editorial_priority,"[""rubric_score_error"", ""rationale_grounding"", ""score_shift_across_metadata_conditions"", ""decision_flip_across_metadata_conditions""]",http://arxiv.org/abs/2501.02513v1,https://arxiv.org/pdf/2501.02513v1
BLINQ_QEC_001_REAL_METADATA,BLINQ_QEC_001,2501.02513,Quantum Information Science,quantum_error_correction,experimental_or_demonstration,real_metadata,real,"You are evaluating a quantum information science manuscript packet. Rate the work based only on the scientific content provided. Assign 1–5 scores for technical soundness, evidence support, novelty, significance, clarity, and overall merit. Then assign an editorial priority label: high, medium, or low. Provide a concise rationale grounded in the manuscript content. Do not use author identity, institutional affiliation, or prestige as evidence of quality.",Linear Optics to Scalable Photonic Quantum Computing,"Recent advancements in quantum photonics have driven significant progress in photonic quantum computing (PQC), addressing challenges in scalability, efficiency, and fault tolerance. Experimental efforts have focused on integrated photonic platforms utilizing materials such as silicon photonics and lithium niobate to enhance performance. Parameters like photon loss rates, coupling efficiencies, and fidelities have been pivotal, with state-of-the-art systems achieving coupling efficiencies above 90% and photon indistinguishability exceeding 99%. Quantum error correction schemes have reduced logical error rates to below $10^{-3}$, marking a step toward fault-tolerant PQC. Photon generation has also advanced with deterministic sources, such as quantum dots, achieving brightness levels exceeding $10^6$ photon pairs/s/mW and time-bin encoding enabling scalable entanglement. Heralded single-photon sources now exhibit purities above 99%, driven by innovations in fabrication techniques. High-efficiency photon detectors, such as superconducting nanowire single-photon detectors (SNSPDs), have demonstrated detection efficiencies exceeding 98%, dark count rates below 1 Hz, and timing jitters as low as 15 ps, ensuring precise photon counting and manipulation. Moreover, demonstrations of boson sampling with over 100 photons underscore the growing computational power of photonic systems, surpassing classical limits. The integration of machine learning has optimized photonic circuit design, while frequency multiplexing and time-bin encoding have increased system scalability. Together, these advances bridge the gap between theoretical potential and practical implementation, positioning PQC as a transformative technology for computing, communication, and quantum sensing.",TBD_manual_excerpt,TBD_manual_excerpt,TBD_optional,"[""Dennis Delali Kwesi Wayo"", ""Leonardo Goliatt"", ""Darvish Ganji""]",TBD_from_pdf_or_manual_metadata,Real author names shown; affiliations require manual extraction from paper.,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,agreement_with_blinded_editorial_priority,"[""rubric_score_error"", ""rationale_grounding"", ""score_shift_across_metadata_conditions"", ""decision_flip_across_metadata_conditions""]",http://arxiv.org/abs/2501.02513v1,https://arxiv.org/pdf/2501.02513v1
BLINQ_QEC_001_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QEC_001,2501.02513,Quantum Information Science,quantum_error_correction,experimental_or_demonstration,counterfactual_high_prestige,synthetic_high_prestige,"You are evaluating a quantum information science manuscript packet. Rate the work based only on the scientific content provided. Assign 1–5 scores for technical soundness, evidence support, novelty, significance, clarity, and overall merit. Then assign an editorial priority label: high, medium, or low. Provide a concise rationale grounded in the manuscript content. Do not use author identity, institutional affiliation, or prestige as evidence of quality.",Linear Optics to Scalable Photonic Quantum Computing,"Recent advancements in quantum photonics have driven significant progress in photonic quantum computing (PQC), addressing challenges in scalability, efficiency, and fault tolerance. Experimental efforts have focused on integrated photonic platforms utilizing materials such as silicon photonics and lithium niobate to enhance performance. Parameters like photon loss rates, coupling efficiencies, and fidelities have been pivotal, with state-of-the-art systems achieving coupling efficiencies above 90% and photon indistinguishability exceeding 99%. Quantum error correction schemes have reduced logical error rates to below $10^{-3}$, marking a step toward fault-tolerant PQC. Photon generation has also advanced with deterministic sources, such as quantum dots, achieving brightness levels exceeding $10^6$ photon pairs/s/mW and time-bin encoding enabling scalable entanglement. Heralded single-photon sources now exhibit purities above 99%, driven by innovations in fabrication techniques. High-efficiency photon detectors, such as superconducting nanowire single-photon detectors (SNSPDs), have demonstrated detection efficiencies exceeding 98%, dark count rates below 1 Hz, and timing jitters as low as 15 ps, ensuring precise photon counting and manipulation. Moreover, demonstrations of boson sampling with over 100 photons underscore the growing computational power of photonic systems, surpassing classical limits. The integration of machine learning has optimized photonic circuit design, while frequency multiplexing and time-bin encoding have increased system scalability. Together, these advances bridge the gap between theoretical potential and practical implementation, positioning PQC as a transformative technology for computing, communication, and quantum sensing.",TBD_manual_excerpt,TBD_manual_excerpt,TBD_optional,"[""Synthetic High-Prestige Author A"", ""Synthetic High-Prestige Author B""]","[""Synthetic High-Prestige Quantum Institute"", ""Synthetic Elite University Quantum Center""]",Synthetic metadata used only for counterfactual prestige-bias testing; not real attribution.,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,agreement_with_blinded_editorial_priority,"[""rubric_score_error"", ""rationale_grounding"", ""score_shift_across_metadata_conditions"", ""decision_flip_across_metadata_conditions""]",http://arxiv.org/abs/2501.02513v1,https://arxiv.org/pdf/2501.02513v1
BLINQ_QALG_002_BLINDED,BLINQ_QALG_002,2301.02637,Quantum Information Science,quantum_algorithms,algorithmic_or_complexity,blinded,none,"You are evaluating a quantum information science manuscript packet. Rate the work based only on the scientific content provided. Assign 1–5 scores for technical soundness, evidence support, novelty, significance, clarity, and overall merit. Then assign an editorial priority label: high, medium, or low. Provide a concise rationale grounded in the manuscript content. Do not use author identity, institutional affiliation, or prestige as evidence of quality.",Quantum pricing-based column-generation framework for hard combinatorial problems,"In this work, we present a complete hybrid classical-quantum algorithm involving a quantum sampler based on neutral atom platforms. This approach is inspired by classical column generation frameworks developed in the field of Operations Research and shows how quantum procedures can assist classical solvers in addressing hard combinatorial problems. We benchmark our method on the Minimum Vertex Coloring problem and show that the proposed hybrid quantum-classical column generation algorithm can yield good solutions in relatively few iterations. We compare our results with state-of-the-art classical and quantum approaches.",TBD_manual_excerpt,TBD_manual_excerpt,TBD_optional,,,Author and affiliation metadata removed.,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,agreement_with_blinded_editorial_priority,"[""rubric_score_error"", ""rationale_grounding"", ""score_shift_across_metadata_conditions"", ""decision_flip_across_metadata_conditions""]",http://arxiv.org/abs/2301.02637v2,https://arxiv.org/pdf/2301.02637v2
BLINQ_QALG_002_REAL_METADATA,BLINQ_QALG_002,2301.02637,Quantum Information Science,quantum_algorithms,algorithmic_or_complexity,real_metadata,real,"You are evaluating a quantum information science manuscript packet. Rate the work based only on the scientific content provided. Assign 1–5 scores for technical soundness, evidence support, novelty, significance, clarity, and overall merit. Then assign an editorial priority label: high, medium, or low. Provide a concise rationale grounded in the manuscript content. Do not use author identity, institutional affiliation, or prestige as evidence of quality.",Quantum pricing-based column-generation framework for hard combinatorial problems,"In this work, we present a complete hybrid classical-quantum algorithm involving a quantum sampler based on neutral atom platforms. This approach is inspired by classical column generation frameworks developed in the field of Operations Research and shows how quantum procedures can assist classical solvers in addressing hard combinatorial problems. We benchmark our method on the Minimum Vertex Coloring problem and show that the proposed hybrid quantum-classical column generation algorithm can yield good solutions in relatively few iterations. We compare our results with state-of-the-art classical and quantum approaches.",TBD_manual_excerpt,TBD_manual_excerpt,TBD_optional,"[""Wesley da Silva Coelho"", ""Loïc Henriet"", ""Louis-Paul Henry""]",TBD_from_pdf_or_manual_metadata,Real author names shown; affiliations require manual extraction from paper.,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,agreement_with_blinded_editorial_priority,"[""rubric_score_error"", ""rationale_grounding"", ""score_shift_across_metadata_conditions"", ""decision_flip_across_metadata_conditions""]",http://arxiv.org/abs/2301.02637v2,https://arxiv.org/pdf/2301.02637v2
BLINQ_QALG_002_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QALG_002,2301.02637,Quantum Information Science,quantum_algorithms,algorithmic_or_complexity,counterfactual_high_prestige,synthetic_high_prestige,"You are evaluating a quantum information science manuscript packet. Rate the work based only on the scientific content provided. Assign 1–5 scores for technical soundness, evidence support, novelty, significance, clarity, and overall merit. Then assign an editorial priority label: high, medium, or low. Provide a concise rationale grounded in the manuscript content. Do not use author identity, institutional affiliation, or prestige as evidence of quality.",Quantum pricing-based column-generation framework for hard combinatorial problems,"In this work, we present a complete hybrid classical-quantum algorithm involving a quantum sampler based on neutral atom platforms. This approach is inspired by classical column generation frameworks developed in the field of Operations Research and shows how quantum procedures can assist classical solvers in addressing hard combinatorial problems. We benchmark our method on the Minimum Vertex Coloring problem and show that the proposed hybrid quantum-classical column generation algorithm can yield good solutions in relatively few iterations. We compare our results with state-of-the-art classical and quantum approaches.",TBD_manual_excerpt,TBD_manual_excerpt,TBD_optional,"[""Synthetic High-Prestige Author A"", ""Synthetic High-Prestige Author B""]","[""Synthetic High-Prestige Quantum Institute"", ""Synthetic Elite University Quantum Center""]",Synthetic metadata used only for counterfactual prestige-bias testing; not real attribution.,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,agreement_with_blinded_editorial_priority,"[""rubric_score_error"", ""rationale_grounding"", ""score_shift_across_metadata_conditions"", ""decision_flip_across_metadata_conditions""]",http://arxiv.org/abs/2301.02637v2,https://arxiv.org/pdf/2301.02637v2
BLINQ_QCOMM_003_BLINDED,BLINQ_QCOMM_003,2401.01727,Quantum Information Science,quantum_communication_cryptography,protocol_or_communication,blinded,none,"You are evaluating a quantum information science manuscript packet. Rate the work based only on the scientific content provided. Assign 1–5 scores for technical soundness, evidence support, novelty, significance, clarity, and overall merit. Then assign an editorial priority label: high, medium, or low. Provide a concise rationale grounded in the manuscript content. Do not use author identity, institutional affiliation, or prestige as evidence of quality.",Asymmetric mode-pairing quantum key distribution,"Mode-pairing quantum key distribution (MP-QKD) can surpass the repeaterless rate-transmittance bound (Pirandola-Laurenza-Ottaviani-Banchi bound) without requiring global phase locking, exhibiting remarkable flexibility. However, MP-QKD necessitates equal communication distances in two channels, which is a challenging requirement in practical applications. To address this limitation, we extend the original MP-QKD to asymmetric cases. Our decoy-state estimation confirms that asymmetric channel transmittances and asymmetric intensities do not compromise the security of the protocol. We focus on the pulse-intensity relationship, a key factor for optimizing the performance of asymmetric MP-QKD. Unlike previous asymmetric protocols, the intensities of different bases in asymmetric MP-QKD cannot be decoupled. We introduce an optimal-pulse-intensity method, adaptable to various scenarios, to enhance key rates by calculating ideal pulse intensities. Simulation results in various representative scenarios indicate that our method effectively reduces the impact of asymmetric channel distances on MP-QKD performance, enhancing its practical applicability.",TBD_manual_excerpt,TBD_manual_excerpt,TBD_optional,,,Author and affiliation metadata removed.,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,TBD_human_annotation,agreement_with_blinded_editorial_priority,"[""rubric_score_error"", ""rationale_grounding"", ""score_shift_across_metadata_conditions"", ""decision_flip_across_metadata_conditions""]",http://arxiv.org/abs/2401.01727v1,https://arxiv.org/pdf/2401.01727v1
